passage_id,question,passage
2001_1070:90,"Kogo musi zawiadomić prezes sądu apelacyjnego o toczącej się sprawie sądowej, w której występuje jako strona?","                                    Art. 90.
Sędzia sądu rejonowego i sędzia sądu okręgowego jest obowiązany niezwłocznie
zawiadomić prezesa sądu okręgowego, sędzia sądu apelacyjnego i prezes sądu
okręgowego - prezesa sądu apelacyjnego, a prezes sądu apelacyjnego - Ministra
Sprawiedliwości o toczącej się sprawie sądowej, w której występuje jako strona
lub uczestnik postępowania."
1997_506:7,"Czy posługiwanie się w obrocie prawnym na terytorium Rzeczypospolitej Polskiej wyłącznie obcojęzycznymi nazwami własnymi, jest dozwolone?","                                    Art. 7.
1. Języka polskiego używa się w obrocie prawnym na terytorium Rzeczypospolitej
  Polskiej pomiędzy podmiotami polskimi oraz gdy jedną ze stron jest podmiot
  polski. Dotyczy to w szczególności nazewnictwa towarów i usług, ofert,
  reklamy, instrukcji obsługi, informacji o właściwościach towarów i usług,
  warunków gwarancji, faktur, rachunków i pokwitowań.
2. Podmiotem polskim w rozumieniu ustawy jest:
   1) osoba fizyczna mająca miejsce zamieszkania na terytorium Rzeczypospolitej
     Polskiej,
   2) osoba prawna lub jednostka organizacyjna nie posiadająca osobowości
     prawnej
   - prowadząca działalność na terytorium Rzeczypospolitej Polskiej.
3. Posługiwanie się w obrocie prawnym na terytorium Rzeczypospolitej Polskiej
  wyłącznie obcojęzycznymi określeniami, z wyjątkiem nazw własnych, jest
  zakazane.
4. Obcojęzyczne opisy towarów i usług oraz obcojęzyczne oferty i reklamy
  wprowadzane do obrotu prawnego, o którym mowa w ust. 1, muszą jednocześnie
  mieć polską wersję językową.
5. Kontrolę wykonywania obowiązków, o których mowa w ust. 1, 3 i 4, sprawuje
  Inspekcja Handlowa oraz Urząd Ochrony Konkurencji i Konsumentów.
                                       "
2001_1545:304,Czy przy zawieraniu umowy ubezpieczenia morskiego ubezpieczający obowiązany jest podać do wiadomości ubezpieczyciela powszechnie znane okoliczności?,"                                    Art. 304.
 § 1. Przy zawieraniu umowy ubezpieczenia morskiego ubezpieczający obowiązany
     jest podać do wiadomości ubezpieczyciela wszelkie okoliczności, które są
     lub powinny mu być znane, a mogą mieć wpływ na ocenę niebezpieczeństwa
     oraz na decyzje ubezpieczyciela o przyjęciu i warunkach ubezpieczenia.
 § 2. Obowiązek określony w § 1 nie dotyczy okoliczności powszechnie znanych
     oraz okoliczności, które powinny być znane ubezpieczycielowi.
 § 3.  Jeżeli ubezpieczający działał przez przedstawiciela, obowiązek określony
     w § 1 ciąży również na przedstawicielu i obejmuje także okoliczności  jemu
     znane.
 § 4. Przy zawieraniu umowy ubezpieczenia morskiego na rzecz osoby trzeciej
     obowiązek określony w paragrafach poprzedzających spoczywa zarówno na
     ubezpieczającym, jak i na ubezpieczonym, chyba że ubezpieczony nie
     wiedział o zawarciu umowy na jego rzecz.
                                        "
1997_735:114,"Na kogo przechodzą prawa odszkodowania w razie śmierci obwinionego, który w wyniku kasacji postępowania został uniewinniony?","                                    Art. 114.
 §1. Obwinionemu, który w wyniku kasacji lub wznowienia postępowania został
     następnie uniewinniony albo wobec którego umorzono postępowanie wskutek
     okoliczności nieuwzględnionych we wcześniejszym postępowaniu, przysługuje
     od Skarbu Państwa odszkodowanie za poniesioną szkodę oraz zadośćuczynienie
     za doznaną krzywdę, wynikłą z wykonania względem niego w całości lub
     części kary lub środka karnego, których nie powinien był ponieść.
 §2. Odszkodowanie i zadośćuczynienie przysługuje także osobie niewątpliwie
     niesłusznie zatrzymanej.
 §3. W razie śmierci obwinionego, który żądanie odszkodowania i
     zadośćuczynienia zgłosił za życia, prawa jego przechodzą na małżonka,
     dzieci i rodziców.
                                        "
2002_1070:114,Do jakiego stopnia powraca żołnierz w skutku kary pozbawienia stopnia oficerskiego?,"Art. 114.
Kara pozbawienia
stopnia oficerskiego polega na wydaniu rozkazu personalnego o utracie stopnia
oficerskiego i powrocie do stopnia szeregowego.
 "
2000_1250:19,"Na czyj wniosek wydaje się pozwolenie na tranzyt niekrajowego towaru podwójnego zastosowania, którego przemieszczanie ma się zakończyć poza polskim obszarem celnym?","                                   Art. 19.
1. Tranzyt niekrajowego towaru podwójnego zastosowania, którego
  przemieszczanie ma się zakończyć poza polskim obszarem celnym, wymaga
  pozwolenia wydawanego przez dyrektora granicznego urzędu celnego.
2. Pozwolenie, o którym mowa w ust. 1, wydaje się na wniosek przewoźnika.
3. Minister właściwy do spraw finansów publicznych w porozumieniu z ministrem
  właściwym do spraw gospodarki określi, w drodze rozporządzenia, wzór wniosku,
  o którym mowa w ust. 2, oraz wzór pozwolenia na tranzyt towarów podwójnego
  zastosowania.
4. Wzór wniosku i wzór pozwolenia, o których mowa w ust. 3, powinny zawierać w
  szczególności: numer licencji eksportowej, kraj pochodzenia towaru, nazwę
  przewoźnika, numer listu przewozowego, nazwę eksportera i jego adres, nazwę
  odbiorcy i jego adres, nazwę i pełny opis towaru lub technologii, numer
  kontrolny, ilość i wartość, nazwę przejścia granicznego, przez które towar
  będzie wwieziony na polski obszar celny, oświadczenie przewoźnika, że towary
  objęte międzynarodową kontrolą będą przewiezione przez polski obszar celny na
  podstawie licencji eksportowej z kraju eksportera do wskazanego odbiorcy w
  stanie, w jakim wwieziono je na polski obszar celny."
1995_420:4,"Jaki charakter może mieć świadczenie, do spełnienia którego zobowiązuje się emitent obligacji?","                                Art. 4.
 1. Obligacja jest papierem wartościowym emitowanym w serii, w którym emitent
   stwierdza, że jest dłużnikiem właściciela obligacji (obligatariusza) i 
   zobowiązuje się wobec niego do spełnienia określonego świadczenia (wykupu
   obligacji).
 2. Świadczenie, o którym mowa w ust. 1, może mieć charakter pieniężny lub 
   niepieniężny.
 3. Świadczenie pieniężne polega na zapłacie należności głównej lub należności
   ubocznych (odsetek) w sposób i w terminach określonych w warunkach 
   emisji. Za należności uboczne uważa się również różnicę między ceną nominalną
   a ceną emisyjną obligacji.
 4. Świadczenie niepieniężne może w szczególności polegać na realizacji przyznanego
   obligatariuszowi:
    1) prawa do udziałów w przyszłych zyskach emitenta,
    2) prawa do zamiany obligacji na akcje spółki będącej emitentem tych 
      obligacji (obligacje zamienne),
    3) prawa pierwszeństwa do objęcia emitowanych w przyszłości akcji 
      spółki będącej emitentem tych obligacji (obligacje z prawem pierwszeństwa).
 "
2001_18:91,Kto kieruje działaniami interwencyjnymi w przypadku zdarzenia radiacyjnego powodującego zagrożenie o zasięgu krajowym?,"                                   Art. 91.
Działaniami interwencyjnymi kieruje:
   1) wojewoda właściwy dla miejsca zdarzenia radiacyjnego - w przypadku
     zdarzenia radiacyjnego powodującego zagrożenie publiczne o zasięgu
     wojewódzkim,
   2) minister właściwy do spraw wewnętrznych - w przypadku zdarzenia
     radiacyjnego powodującego:
     a) zagrożenie publiczne o zasięgu krajowym,
     b) zagrożenie publiczne o zasięgu wojewódzkim, gdy podjęcie i prowadzenie
       działań interwencyjnych przekracza możliwości służb podległych
       wojewodzie.
                                       "
2000_1009:4,Kiedy wchodzi w życie uchwała o przystąpieniu do zrzeszenia?,"                                    Art. 4.
1. Organ stanowiący jednostki samorządu terytorialnego podejmuje uchwałę o
  przystąpieniu do zrzeszenia bezwzględną większością głosów ustawowego składu.
2. Uchwała, o której mowa w ust. 1, wchodzi w życie po uzyskaniu zgody
  ministra właściwego do spraw zagranicznych.
3. Jednostka samorządu terytorialnego przekazuje uchwałę ministrowi właściwemu
  do spraw zagranicznych za pośrednictwem wojewody, dołączającego swoją opinię.
4. Organ stanowiący jednostki samorządu terytorialnego wraz z uchwałą, o
  której mowa w ust. 1, przekazuje statut zrzeszenia, do którego zamierza
  wstąpić, lub inny dokument ustalający zasady działania tego zrzeszenia, listę
  jego członków oraz urzędowe tłumaczenie tych dokumentów na język polski.
  Sejmik województwa przedstawia także ""Priorytety współpracy zagranicznej
  województwa"".
5. Minister właściwy do spraw zagranicznych wyraża zgodę na przystąpienie do
  zrzeszenia lub odmawia takiej zgody w drodze decyzji administracyjnej."
2001_627:16,Co jaki czas zostaje złożony raport z realizacji polityki ekologicznej państwa?,"                                    Art. 16.
Rada Ministrów przedkłada Sejmowi co 4 lata raport z realizacji polityki
ekologicznej państwa.
                                        "
2004_2776:12,Czy żłobek może wymagać dodatkowej opłaty za opiekę nad dzieckiem w wymiarze ponad 8 godzin?,"Art. 12. 
1. Godziny pracy
żłobka lub klubu dziecięcego ustala się w regulaminie organizacyjnym, o którym
mowa w art. 21, biorąc pod uwagę opinie rodziców.
2. W żłobku
zapewnia się opiekę nad dzieckiem w wymiarze do 10 godzin dziennie względem
każdego dziecka.
3. W szczególnie
uzasadnionych przypadkach wymiar opieki w żłobku może być, na wniosek rodzica
dziecka, wydłużony, za dodatkową opłatą.
4. W klubie
dziecięcym zapewnia się opiekę nad dzieckiem w wymiarze do 5 godzin dziennie
względem każdego dziecka.
 "
2001_1545:82,Czy hipoteka morska na statku w budowie obejmuje materiały przeznaczone do jego budowy?,"                                    Art. 82.
 § 1. Hipotekę morską można ustanowić na statku w budowie.
 § 2. Hipoteka morska na statku w budowie obejmuje materiały, urządzenia i
     wyposażenie znajdujące się na terenie stoczni budującej obciążony hipoteką
     statek, które przez oznakowanie lub w inny sposób zostały wyraźnie
     zidentyfikowane jako przeznaczone do budowy lub na wyposażenie tego
     statku.
                                        "
1997_739:100,Kto sprawuje nadzór nad sprawami przejazdu przez polskie terytorium należące do urzędów konsularnych?,"                               Art. 100.
 1. Minister Spraw Wewnętrznych i Administracji sprawuje nadzór nad sprawami
   wjazdu na terytorium Rzeczypospolitej Polskiej, przejazdu przez to 
   terytorium, pobytu na nim i wyjazdu cudzoziemców z terytorium Rzeczypospolitej
   Polskiej.
 2. Minister Spraw Zagranicznych sprawuje nadzór nad sprawami, o których 
   mowa w ust. 1, należącymi do właściwości polskich przedstawicielstw dyplomatycznych
   i urzędów konsularnych.
 3. Od decyzji wydawanych przez komendantów granicznych placówek kontrolnych
   Straży Granicznej w sprawach określonych w ustawie przysługuje 
   odwołanie do Komendanta Głównego Straży Granicznej.
 "
1997_555:593,Za czyim pośrednictwem zostaje złożony wniosek o wydanie z terytorium państwa obcego dowodów rzeczowych?,"                               Art. 593.
Sądy i prokuratorzy zgłaszają za pośrednictwem Ministra Sprawiedliwości 
wnioski o wydanie przez państwo obce osoby, przeciwko której wszczęto postępowanie
karne, o wydanie osoby w celu przeprowadzenia postępowania sądowego
lub wykonania orzeczonej kary pozbawienia wolności, o przewóz osoby
ściganej lub skazanej przez terytorium państwa obcego oraz o wydanie z 
terytorium państwa obcego dowodów rzeczowych lub przedmiotów uzyskanych 
przez sprawcę w wyniku przestępstwa.
            "
2001_1545:9,Jakie statki mogą żeglować pod polską banderą?,"                                     Art. 9.
 § 1. Żeglugę pod polską banderą może uprawiać tylko statek o polskiej
     przynależności.
 § 2. Z zastrzeżeniem § 3 stały przewóz pasażerów lub ładunku pomiędzy portami
     polskimi może uprawiać tylko statek o polskiej przynależności.
 § 3. Terenowy organ administracji morskiej, na którego obszarze działania
     znajduje się port rozpoczęcia podróży, może, w uzasadnionych przypadkach,
     zezwolić na wykonywanie przez czas oznaczony stałego przewozu pomiędzy
     portami polskimi przez statek o obcej przynależności.
                                        "
2001_763:27,W jakim terminie musi zostać przesłane orzeczenie regionalnej komisji dyscyplinarnej?,"                                    Art. 27.
Orzeczenie Regionalnej Komisji Dyscyplinarnej jest przesyłane wraz z
uzasadnieniem zainteresowanym stronom w terminie 7 dni od dnia ogłoszenia
orzeczenia.
                                        "
2001_1441:11,"Czy minister właściwy do spraw rolnictwa może wycofać licencję, jeśli armator został skazany wyrokiem za nieumyślne przestępstwo popełnione przy użyciu statku rybackiego?","                                Art. 11.
1. Minister właściwy do spraw rolnictwa, w drodze decyzji:
   1) może wstrzymać wykonywanie rybołówstwa morskiego na czas określony,
     nie dłuższy niż 6 miesięcy, jeżeli armator prowadził ukierunkowane
     połowy organizmów morskich w okresie ochronnym lub w obwodzie
     ochronnym,
   2) cofa licencję, jeżeli:
     a) statek rybacki został wykreślony z ewidencji statków rybackich
       lub
     b) armator został skazany prawomocnym wyrokiem za umyślne
       przestępstwo popełnione przy użyciu statku rybackiego.
2. Decyzjom, o których mowa w ust. 1, nadaje się rygor natychmiastowej
  wykonalności.
                                    "
1997_776:17,Jakie oddziały tworzy się w miejscowościach niebędących siedzibami sądów apelacyjnych w celu wykonywania zadań instytutu pamięci?,"                                  Art. 17.
1.  W celu wykonywania zadań Instytutu Pamięci w miejscowościach będących
  siedzibami sądów apelacyjnych tworzy się oddziały Instytutu Pamięci, zwane
  dalej ""oddziałami"", zaś w innych miastach mogą być utworzone delegatury
  Instytutu Pamięci, zwane dalej ""delegaturami"".
2.  Oddziałem Instytutu Pamięci kieruje dyrektor oddziału, a delegaturą
  Instytutu Pamięci naczelnik delegatury. Dyrektora oddziału oraz naczelnika
  delegatury powołuje i odwołuje Prezes Instytutu Pamięci.
                                      "
1996_405:5,Kto sprawuje nadzór nad agencją mienia wojskowego?,"                                Art. 5.
 1. Tworzy się Agencję Mienia Wojskowego, zwaną dalej ""Agencją"".
 2. Nadzór nad Agencją sprawuje Minister Obrony Narodowej.
 3. Agencja jest państwową osobą prawną.
 4. Siedzibą Agencji jest miasto stołeczne Warszawa.
 "
1997_553:302,"Jakiej karze podlega wierzyciel, który przyjmuje korzyść za działanie na szkodę innych wierzycieli w związku z postępowaniem upadłościowym?","                               Art. 302.
 § 1. Kto, w razie grożącej mu niewypłacalności lub upadłości, nie mogąc zaspokoić
     wszystkich wierzycieli, spłaca lub zabezpiecza tylko niektórych, 
     czym działa na szkodę pozostałych,
        podlega grzywnie, karze ograniczenia wolności albo pozbawienia 
         wolności do lat 2.
 § 2. Kto wierzycielowi udziela lub obiecuje udzielić korzyści majątkowej za 
     działanie na szkodę innych wierzycieli w związku z postępowaniem 
     upadłościowym lub zmierzającym do zapobiegnięcia upadłości,
        podlega karze pozbawienia wolności do lat 3.
 § 3. Tej samej karze podlega wierzyciel, który w związku z określonym w § 
     2 postępowaniem przyjmuje korzyść za działanie na szkodę innych wierzycieli
     albo takiej korzyści żąda.
 "
1997_117:101,W jakim terminie osoba uprawniona do korzystania z procedury tranzytu powinna przedstawić towary w urzędzie celnym?,"                               Art. 101.
 § 1. Osobą uprawnioną do korzystania z procedury tranzytu jest główny zobowiązany.
 § 2. Główny zobowiązany powinien:
    1) przedstawić w wyznaczonym terminie i we wskazanym przez organ celny
      urzędzie celnym, towary w nienaruszonym stanie i z zachowaniem 
      środków zastosowanych przez organ celny w celu zapewnienia tożsamości
      towaru,
    2) przestrzegać przepisów procedury tranzytu.
 § 3. Niezależnie od obowiązków głównego zobowiązanego, każda osoba 
     przewożąca towar lub przyjmująca go, jeśli wie o tym, że jest on objęty 
     procedurą tranzytu, jest również zobowiązana do przedstawienia tego 
     towaru w urzędzie celnym przeznaczenia z zachowaniem wymogów, o 
     których mowa w § 2 i § 4.
 § 4. Termin, o którym mowa w § 2, nie może przekraczać 14 dni licząc od 
     dnia pierwszego objęcia towaru procedurą tranzytu.
                                    
                               Oddział 3
                              Skład celny
                                    "
